,Контингент (индификатор),Название проекта (Описание),Дата выхода,Цена,"Производитель, разработчик","Покупатель, заказчик",Участник торгов
18,CGN-20211209001,"Результаты первого проекта генерального подряда на строительство распределенной энергетической станции в Ухане, Первый проект генерального подряда на проект распределенной энергетической станции в Ухане, Наблюдение за данной тендерной программой",2022-04-21,,, &quot; Чайна инжиниринг лимитед &quot;,
19,(Контингент: CGN-20230626003),"Разработка специализированного инструмента для тестирования платформы для получения информации о результатах закупок, Разработка специализированных тестовых инструментов платформы для разработки закупок (номер тендера: CGN-20230626003) для определения победителей проекта, Проект: Разработка специализированного инструмента тестирования платформы для закупок, Наблюдение за данной тендерной программой",2023-09-07,1050000, Beijing Space Technology," Китайская академия ядерных исследований,  &quot; Чайна инжиниринг лимитед &quot;",
20,,"LF Проект LOT10B Оборудование для легкой подвески, Оборудование для легкого погрузки на обычные острова и BOP для проекта LOT10B (номер тендера: CGN-202201210003-N1), Наблюдение за данной тендерной программой",2022-07-04,5650000, Hong Kong Kong," &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
21,,"Проект модернизации оборудования для мониторинга трансмиссии на заводе &lt; &lt; Ниндер &gt; &gt; 1 и 2 (CGN-2), Циркуляр результатов, Наименование проекта: проект по модернизации оборудования для мониторинга пробоотдачи масла на заводе &lt; &lt; Ниндер &gt; &gt; 1 и 2, Наблюдение за осуществлением данного тендерного проекта",2022-08-25,2942400, Chengduon Technology Ltd.,",  &quot; Чайна инжиниринг лимитед &quot;",
22,,"Проект BJ 1 и проект 2 LOT88Aa, Объяснение результатов, Электрический шкаф на площадке по всему заводу LOT88Aa (Конференция No CGN-20210616002) для определения проекта, Проект: Электрический шкаф на заводе LOT88Aa по проекту BJ 1 и 2, Наблюдение за данной тендерной программой",2022-01-10,22357557, China Super Electric Company," &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
23,(Конференция: CGN-20230128002),"В рамках проекта LOT45A для обычного архипелажного клапана (номер тендера: CGN-20230128002) для определения победителей проекта, например, Наблюдение за данной тендерной программой",2023-03-29,7607834, Emerson Management (Тяньцзинь) клапаны," &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
24,(Контингент: CGN-20220406003),"100 МВт наземный ветровый проект по проектированию, 100 МВт проект по проектированию наземной ветроэнергетики в южной части Китая (номер тендера: CGN-20220406003), Надзор за осуществлением данного тендерного проекта /.",2022-06-10,1992800,, &quot; Чайна инжиниринг лимитед &quot;, China and China New Energy Shipy
25,(Контингент: CGN-202204120002),"Проект BJ LOT45Kb не предусматривает быстрой замены клапанов (номер тендера: CGN-202204120002) для определения победителя проекта, Наблюдение за данной тендерной программой",2022-06-09,1874396,," &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;", Шэньчжэнь
26,,"Оборудование для композитирования микроорганизмов в рамках проекта &lt; &lt; Биогаз &gt; &gt; УНИТА, Закупки (перезакупки) для поставок и установки, Циркуляр результатов, Закупка (перезакупка) комплекта комплекта оборудования для комбинированных микроорганизмов в рамках проекта &lt; &lt; Би-Газпром &gt; &gt; , реализуемого в рамках проекта &lt; &lt; Би-Газпром &gt; &gt;, Номер объекта: CGN-20220408001-N1, в котором указаны следующие участники:, Наименование проекта: поставка комплектов оборудования для производства микроорганизмов в рамках проекта &lt; &lt; Би-Газпром &gt; &gt; УНИТА и проведение тендеров на закупку (перезакупка), Наблюдение за данной тендерной программой",2022-06-16,5450000, Hong Kong Kong," &lt; &lt; Си Цзиньпин &gt; &gt;,  &quot; Чайна инжиниринг лимитед &quot;",
27,,"Проект оценки безопасности информационных систем на 2023-2024 годы (CGN-20221206002), Циркуляр результатов, Название проекта: Проект оценки безопасности информационных систем 2023-2024, Наблюдение за осуществлением данного тендерного проекта",2023-01-31,11260000, Beijing Zojiang, &quot; Чайна инжиниринг лимитед &quot;, компания с ограниченной ответственностью (Шэньчжэнь)
28,(Контингент: CGN-20220920005),"LF Проект LOT45F Обыкновенный островной клапан, Наблюдение за данной тендерной программой",2022-12-13,13438676, Jianzsu Jong Kong," &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
29,,"Результаты работ по строительству гидроэлектроэнергии и транспортировке (2023 - 2026 годы) (перезаключение) в рамках проекта BJ в Чжэцзяне, Строительство гидроэлектроэнергетических и эксплуатационных работ в рамках проекта BJ в Бенцзяне (2023-2026 годы) (перезаключение) (номер тендера: CGN-CGN-, Наблюдение за данной тендерной программой",2023-06-13,43240044,," &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
30,(Контингент: CGN-20221010005),"Устройства SK LOT134D охлаждают насосы, Устройство LOT134D для охлаждения насосов (номер тендера: CGN-20221010005) в рамках проекта SK, чтобы определить, кто является кандидатом проекта, например, Наблюдение за данной тендерной программой",2022-12-16,18523000, Shanghai Cyon Co. Ltd.," &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
31,(Контингент: CGN-20220309002),Наблюдение за данной тендерной программой,2022-05-26,23802831, Jan State Huawei," &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
32,(Контингент: CGN-202301170012),"Результаты, CGN-202301170012 был определен следующим образом:, Надзор за осуществлением данного тендерного проекта /.",2023-03-01,6562488, Guangzy and Saxo, &quot; Чайна инжиниринг лимитед &quot;, &quot; Чайна Хиросима &quot;
33,(Конференция: CGN-20230314002),"Результаты третьей партии предварительно захороненных контейнеров проекта SK LOT130Ad, Третья партия тары для предварительного захоронения в рамках проекта LOT130Ad (номер тендера: CGN-20230314002) для определения участника проекта, Название проекта: третья партия сборных контейнеров проекта SK LOT130Ad, Наименование проекта: третья партия сборных контейнеров проекта SK LOT130Ad (пункт 2), Наблюдение за данной тендерной программой",2023-06-15,"21093300, 15642673", Zong Island Heroes," &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
34,(Контингент: CGN-202205180010),"100 МВт агрономического комплементарного фотоэлектрического проекта EPC, 100 МВт агрономического комплементарного фотоэлектрического проекта EPC в Нижней Сычуань, штат Хиросима (запрос No: CGN-CGN), Надзор за осуществлением данного тендерного проекта /.",2022-07-21,106003888,, &quot; Чайна инжиниринг лимитед &quot;, China and China New Energy
35,(Контингент: CGN-202201140003),"Информация о результатах закупок с использованием трафика, Проект: &lt; &lt; Закупки с использованием трафика &gt; &gt;, Наблюдение за данной тендерной программой",2022-03-09,1790000,," Китайская академия ядерных исследований,  &quot; Чайна инжиниринг лимитед &quot;",
36,(Контингент: CGN-202107130007),"110-кислотная ветряная станция, установка оборудования и конструкция 35-кислотных линий электропередачи на участке, Проект 110 кВ ветряной станции, установка оборудования и проект 35 кВ в поле (номер тендера:, Наблюдение за данной тендерной программой",2021-08-18,21935100, Jiang Western Dong," &lt; &lt; Синьхуа &gt; &gt;,  &quot; Чайна инжиниринг лимитед &quot;",
37,(Контингент: CGN-20220129002),"Сведения о результатах, полученных в ходе закупок интерпретатора, Проект: Закупка имитаторов текучего материала, Наблюдение за данной тендерной программой",2022-04-02,3886000,," &lt; &lt; Дженерал ко. &gt; &gt;,  Китайская академия ядерных исследований,  &quot; Чайна инжиниринг лимитед &quot;",
38,,"Закупка пробной установки для оценки процесса стыковки трубы на крыше реактора (CGN-), Циркуляр результатов, Название проекта: Закупка пробного процесса оценки стыковки трубы на крыше реактора, Наблюдение за осуществлением данного тендерного проекта",2022-12-15,1049281, Franch Company," &lt; &lt; Чайна атомная электроника &gt; &gt;,  &quot; Чайна инжиниринг лимитед &quot;",
39,(Контингент: CGN-20230208003),"Запасы отходов LOT130Ud для группы 5 и 6 Результаты гамма-наблюдения, Устройство для мониторинга гамма-спектрометра в блоке LOT130Ud для отходов в рамках проекта &quot; Земля &quot; , No CGN-20230208003,, Партнеры: Китайский институт автоматизации вооружения, Наблюдение за данной тендерной программой",2023-05-09,2400000,," &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
40,,"Проект LOT12C (холодильная установка BOP), Циркуляр результатов, Проект LOT12C (BOP Холодная водная группа) (номер тендера: CGN-202207140015) для определения участника проекта., Название проекта: LOT12C (холодный водоплавающий комплекс BOP), Наблюдение за данной тендерной программой",2022-09-22,3641700,," &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
41,Номер запроса: CGN-202303280004,"Проект SK LOT130D, Циркуляр результатов, В данном проекте SK (LOT130D-фильтр) (номер тендера: CGN-202303280004) для определения выигравшей стороны проекта., Название проекта: Проект SK LOT130D, Наблюдение за данной тендерной программой, 16 июня 2023 года",2023-06-16,10400000, Hong Kong New Energy Engineering," &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
42,,"В данном проекте рекомендуется использовать в морских районах проекта проектное долгосрочное соглашение по теме демонстрации (номер тендера: CGN-20210415002) для определения участника проекта, например,, Проект: Долгосрочное соглашение по теме &lt; &lt; Эксплуатационные проекты в морских районах &gt; &gt;, Наблюдение за данной тендерной программой",2021-07-20,818500,, &quot; Чайна инжиниринг лимитед &quot;, Шэньчжэнь
43,,"Проект BJ и проект LOT20C, Циркуляр результатов, Проект BJ и логотип LOT20C проекта LF (номер тендера: CGN-20221028005) для определения победителей проекта, Название проекта: Проект BJ и проект LOT20C, Наблюдение за данной тендерной программой",2023-01-31,1184116, Шэньчжэнь," &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
44,(Конференция: CGN-20230706008),"Синьцзян-Китайская энергетическая база в Синьцзян-цзян-Уйгурском автономном районе Бачжоу на 1 млн кВт трасс, платформ, ветряной базы, Показать результаты 3-й локации, На базе Синьцзян-Китайского Синьцзян-Уцзян-Уйгурского автономного района Бачжоу 1 млн. кВт., Трехзначный пункт (номер тендера: CGN-20230706008) был определен следующим образом:, Надзор за осуществлением данного тендерного проекта /.",2023-08-30,112538264,, &quot; Чайна инжиниринг лимитед &quot;, China and China New Energy Sound
45,,"2-й морской ветротехника и ветряная машина в порту Гуанчжоу, Циркуляр результатов, Интегрированный пункт I для предварительного строительства и установки ветряных машин в порту Гуанчжоу-2 (запрос No: CGN-), Название проекта: Схема предварительного строительства и монтажа ветряных машин в порту Гуанчжоу-2, Наблюдение за данной тендерной программой",2023-01-18,1689223555,," &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
46,(Контингент: CGN-20230417002),"Конвертирование результатов в системах контроля и контроля за цепочками компрессирования и наблюдения в блоке LOT130Id TES, Система управления твердыми линиями для цемента LOT130Id TES и система контроля и контроля за упаковкой для компрессирования (прием), Наблюдение за данной тендерной программой",2023-08-08,1996360, Jiang Zong," &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
47,,"Проекты закупок, Циркуляр результатов, Проект по модернизации оборудования для мониторинга на масляной основе и трансформаторов на станциях Бенянцзян (No тендера: CGN-), Наименование проекта: проект по модернизации оборудования для мониторинга масляного топлива в режиме &lt; &lt; Янцзы &gt; &gt; , связанного с заменой ядерной энергии и повышением трансформатора на станции, Производитель: Nanjin Automation, Наблюдение за данной тендерной программой",2022-04-19,2450000,," &quot; Янцзян энтерпрайз лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
48,(Конференция: CGN-20220725003),"480 МВт Закупка башни для наземного ветроэнергетического проекта, 480 МВт Закупка башни для проекта по производству ветряной энергии на суше (номер тендера: CGN-, Надзор за осуществлением данного тендерного проекта /.",2022-09-26,88123377,, &quot; Чайна инжиниринг лимитед &quot;, China &apos; s Extended Energy
49,"(Контингент: CGN-202209200010), Номер объекта: CGN-202209200010, идентифицированные лица:","2. Показать результаты, Надзор за осуществлением данного тендерного проекта /.",2023-01-16,107152372,, &quot; Чайна инжиниринг лимитед &quot;," &lt; &lt; Синьхуа &gt; &gt; , &lt; &lt; Коул &gt; &gt;"
50,,"Инспекция робототехники в трансформаторах АЭС (CGN-202207200001), Циркуляр результатов, Название проекта: Инспекция роботов на трансформаторах АЭС, Наблюдение за осуществлением данного тендерного проекта",2022-09-14,,,",  &quot; Чайна инжиниринг лимитед &quot;", Университет Сычуань
51,(Контингент: CGN-202204020006),"Обобщение результатов модернизации аппаратного обеспечения системы безопасности в жилых помещениях на базе ядерной энергетики в заливе, Модернизация аппаратного обеспечения системы безопасности жилых помещений на базе ядерной энергетики в заливе Бенгоа (Конференция No CGN-20220402006), Проект: модернизация аппаратного обеспечения системы безопасности в жилых районах на базе ядерной энергетики в заливе Гранд-Азия, Наблюдение за данной тендерной программой",2022-07-27,, Lingdon Electronics Ltd., &quot; Чайна инжиниринг лимитед &quot;,
52,,"LF-проект LOT63, Циркуляр результатов, Проект LOT63 в рамках проекта LOT63 находится на закрытой материнской линии (номер тендера: CGN-20221116002) для определения того, кто является бенефициаром проекта., Название проекта: LOT63 - закрытая материнская линия, Наблюдение за данной тендерной программой",2023-02-28,17000000, Beijing Electric Company," &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
53,(Контингент: CGN-20220309003),"LF-проект 5, 6-й блок LOT7D, 5-й и 6-й блоки LOT7D (запрос No CGN-20220309003) для определения промежуточных участников проекта, Наблюдение за данной тендерной программой",2022-04-26,5671700,," &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
54,(Контингент: CGN-20220726003),"LF-проект LOT45M Регулирование клапанов, В данном проекте LOT45M (номер тендера: CGN-20220726003) для определения победителей проекта, например, Производитель: China Automation, Наблюдение за данной тендерной программой",2022-11-30,12918160,," &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
55,(Контингент: CGN-20220705002),"В 2022 году была произведена консолидированная закупка оборудования для замены коробок (пункт 2: Оборудование для замены коробок в Гуанси), Совместимая закупка оборудования для замены коробок в 2022 году (пункт 2: Оборудование для замены ящиков в Гуанси) (номер тендера:, CGN-20220705002 был определен следующим образом:, Надзор за осуществлением данного тендерного проекта /.",2022-08-24,18866383, China Electric Company, &quot; Чайна инжиниринг лимитед &quot;, &quot; Чайна Хиросима &quot;
56,,"LF Проект LOT1Cb (220kV - вторичное устройство и защита оборудования для электростанций, Проект, Циркуляр результатов, Проект LOT1Cb (220kV Оборудование и защитные устройства) (номер тендера: CGN-, Название проекта: Проект LOT1Cb (220kV Оборудование и защитные устройства), Наблюдение за данной тендерной программой",2023-05-18,3515400,," &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
57,(Контингент: CGN-20211105003),"Закупка 500 000 кВт ветряного оборудования для проекта электростанции &lt; &lt; Цинхай &gt; &gt; (по одному пункту), Закупка 500 000 000 кВт ветряного оборудования для проекта Ветроэнергетической базы в районе озера Бенгоа (по одному пункту) (заказ No CGN-20211105003), Наблюдение за данной тендерной программой",2022-01-30,627302000,," &quot; Перспективная энергетика &quot;,  &lt; &lt; Чайна Хиросима &gt; &gt;,  &quot; Чайна инжиниринг лимитед &quot;",
58,(Контингент: CGN-20230710002),Наблюдение за данной тендерной программой,2023-08-24,64299800,," &lt; &lt; Цзянсу Паулон &gt; &gt;,  China &amp; Co. Ltd.,  &quot; Чайна инжиниринг лимитед &quot;",
59,,"Проект QX по мониторингу водной среды, Циркуляр результатов, Название проекта: Проект QX &lt; &lt; Мониторинг водной среды &gt; &gt;, Наблюдение за данной тендерной программой",2022-10-27,2204011, Clean Energy,",  &quot; Чайна инжиниринг лимитед &quot;",
60,(Контингент: CGN-20220916001),"Научная и техническая компания Юньнань Уайт-стрит, тайваньская ветряная электрическая станция, проводившаяся по заказу FM-перезакупки, Научная технологическая компания Юньнань-стрит, закупка УКВ на электрическом поле (запрос No: CGN-202209160001, Надзор за осуществлением данного тендерного проекта /.",2022-11-16,,," &quot; Перспективная энергетика &quot;,  China and China (Пекин),  &quot; Чайна инжиниринг лимитед &quot;",
61,,"Закупка (перезакупка) основных плагинов для плагинов (Рамочное соглашение), Результаты, Название проекта: Закупка (перезакупка) основных плагинов на базе плагинов, Наблюдение за осуществлением данного тендерного проекта",2023-06-29,5520000,," Китайская академия ядерных исследований,  &quot; Чайна инжиниринг лимитед &quot;",
62,(Контингент: CGN-202303150007),"Покупка исправленного пожарного материала на заводе &lt; &lt; АЭС-12 &gt; &gt; в Большом заливе, Закупка модифицированных огнезащитных материалов на 12-м заводе АЭС &lt; &lt; Бенгоа &gt; &gt; (заказ No CGN-20230315007), Проект: Закупка модернизированных противопожарных материалов на заводе &lt; &lt; АЭС-12 &gt; &gt; в Большом заливе, Наблюдение за данной тендерной программой",2023-05-07,4289618,," &lt; &lt; Гуандун атомный коммерсант лимитед &gt; &gt;,  &quot; Чайна инжиниринг лимитед &quot;",
63,,"В портах Хиросимы построена надводная станция подъемного балласта на морской ветровой электростанции, Циркуляр результатов, Проект по строительству блока (перезакупка) в верхней части подъемной станции морского ветряного ветряного торможения в порту Гуаньчжоу (просмотр тендера) (номер тендера:, Наименование проекта: проект по строительству блоков в верхнем сегменте морской ветряной электростанции в порту Хиросимы (перезаключение), Наблюдение за данной тендерной программой",2023-01-18,144600000,," &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
64,(Контингент: CGN-202307040012),Наблюдение за данной тендерной программой,2023-09-13,1200900000,," &lt; &lt; Чайна энтропия &gt; &gt;,  &quot; Чайна инжиниринг лимитед &quot;",
65,(Контингент: CGN-20211206002),"BJ-проект 1, 2-й блок LOT150Ag (башня охлаждения для механического шока), Проект BJ No 1, блок No 2 LOT150Ag (Типовая башня для охлаждения механического сейсмического тока) (Конференция No CGN-20211206002) для определения проекта, Наблюдение за данной тендерной программой",2022-01-26,5270000,," &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;", Jiangang Hong Kong
66,,"Проект 1 и 2 LOT140Z (неRCC-M-монитор, Проекты и сборные материалы), Циркуляр результатов, LOT140Z (неRCC-M-монитор и сборные материалы) (номер тендера: CGN-M), Название проекта: 1-й и 2-й блок LOT140Z (неRCC-M-монитор и сборные материалы), Наблюдение за данной тендерной программой",2023-02-07,5282291, Jiangsu Sun," &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
67,(Контингент: CGN-202104250010),"Результаты, указанные в приложении к к кабельному кабелю LOT87B K3 для блока 1 и 2 проекта &lt; &lt; Тайпинс &gt; &gt;, Кабельное приложение к блоку LOT87B K3 для блока 1 и 2 (запрос No CGN-202104250010), Наблюдение за данной тендерной программой",2022-07-12,758022,," &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
68,(Контингент: CGN-202305230006),"Результаты в проекте SK LOT42Ab (конденсационные насосы и низкогабаритные насосы), Данный проект SK LOT42Ab (конденсационные насосы и насосы с низкой инфляцией) (номер тендера: CGN-202305230006) для определения этого подпункта, Наблюдение за данной тендерной программой",2023-08-11,11719000,," &quot; Шэньян &quot;,  &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
69,(Конференция: CGN-20211214001),"Доклад о технико-экономическом обосновании проекта строительства морской ветряной электростанции &lt; &lt; Цзянцзян &gt; &gt; , Китай, и соответствующая тематическая информация, Доклад о технико-экономическом обосновании проекта по созданию морской ветряной электростанции &lt; &lt; Яньцзян-2 &gt; &gt; и связанные с этим темы (Конкретный проект No CGN-, Надзор за осуществлением данного тендерного проекта /.",2022-02-10,,, &quot; Чайна инжиниринг лимитед &quot;, China &apos; s Nuclear New Energy Ltd.
70,,"Проект «Договор о предоставлении услуг по управлению складским хранением для атомных электростанций в Чжэцзян-Абэй» (номер тендера: CGN-202104210006), Наблюдение за данной тендерной программой",2021-09-10,,," Китайская ядерная промышленность 23 строительства,  &quot; Чайна инжиниринг лимитед &quot;,  &quot; Чайна инжиниринг лимитед &quot;",
