text,label
Дата выхода: 2023-08-28,Дата выхода
Дата выхода: 2023-09-20,Дата выхода
Дата выхода: 2023-04-21,Дата выхода
Дата выхода: 2023-05-29,Дата выхода
Дата выхода: 2023-08-29,Дата выхода
Дата выхода: 2023-08-23,Дата выхода
Дата выхода: 2023-04-17,Дата выхода
Дата выхода: 2023-05-30,Дата выхода
Дата выхода: 2023-05-05,Дата выхода
Дата выхода: 2023-06-06,Дата выхода
Дата выхода: 2023-01-03,Дата выхода
Дата выхода: 2023-07-17,Дата выхода
Дата выхода: 2023-03-14,Дата выхода
Дата выхода: 2023-03-30,Дата выхода
Дата выхода: 2023-07-26,Дата выхода
Дата выхода: 2023-03-02,Дата выхода
Дата выхода: 2023-09-08,Дата выхода
Дата выхода: 2023-03-27,Дата выхода
Дата выхода: 2023-02-24,Дата выхода
Дата выхода: 2023-03-13,Дата выхода
Дата выхода: 2023-02-02,Дата выхода
Дата выхода: 2023-06-14,Дата выхода
Дата выхода: 2023-04-11,Дата выхода
Дата выхода: 2023-02-03,Дата выхода
Дата выхода: 2023-05-23,Дата выхода
Дата выхода: 2023-07-20,Дата выхода
Дата выхода: 2023-02-21,Дата выхода
Дата выхода: 2023-08-02,Дата выхода
Дата выхода: 2023-05-15,Дата выхода
Дата выхода: 2023-08-01,Дата выхода
Дата выхода: 2023-03-28,Дата выхода
Дата выхода: 2023-07-25,Дата выхода
Дата выхода: 2023-01-06,Дата выхода
Дата выхода: 2023-05-06,Дата выхода
Дата выхода: 2023-04-23,Дата выхода
Дата выхода: 2023-07-14,Дата выхода
Дата выхода: 2023-01-30,Дата выхода
Дата выхода: 2023-07-04,Дата выхода
Дата выхода: 2023-08-25,Дата выхода
Дата выхода: 2023-03-06,Дата выхода
Дата выхода: 2023-04-19,Дата выхода
Дата выхода: 2023-04-10,Дата выхода
Дата выхода: 2023-02-09,Дата выхода
Дата выхода: 2023-07-27,Дата выхода
Дата выхода: 2023-02-14,Дата выхода
Дата выхода: 2023-06-02,Дата выхода
Дата выхода: 2023-09-06,Дата выхода
Дата выхода: 2023-01-28,Дата выхода
Дата выхода: 2023-04-03,Дата выхода
Дата выхода: 2023-03-22,Дата выхода
Дата выхода: 2023-03-09,Дата выхода
Дата выхода: 2023-08-22,Дата выхода
Дата выхода: 2023-02-10,Дата выхода
Дата выхода: 2023-02-08,Дата выхода
Дата выхода: 2023-05-26,Дата выхода
Дата выхода: 2023-04-27,Дата выхода
Дата выхода: 2023-04-04,Дата выхода
Дата выхода: 2023-05-31,Дата выхода
Дата выхода: 2023-04-06,Дата выхода
Дата выхода: 2023-04-20,Дата выхода
Дата выхода: 2023-05-24,Дата выхода
Дата выхода: 2023-06-08,Дата выхода
Дата выхода: 2023-06-09,Дата выхода
Дата выхода: 2023-02-27,Дата выхода
Дата выхода: 2023-01-12,Дата выхода
Дата выхода: 2023-09-21,Дата выхода
Дата выхода: 2023-02-22,Дата выхода
Дата выхода: 2023-07-07,Дата выхода
Дата выхода: 2023-06-28,Дата выхода
Дата выхода: 2023-05-22,Дата выхода
Дата выхода: 2023-03-31,Дата выхода
Дата выхода: 2023-05-08,Дата выхода
Дата выхода: 2023-04-28,Дата выхода
Результаты строительства гидроэлектроэнергии и строительства объекта BZ (2023-2026),Название проекта (Описание)
Строительство гидроэлектроэнергетики и строительства в рамках проекта BZ (2023-2026) (номер тендера: CGN-2023023005) определен,Название проекта (Описание)
Результаты работ по строительству гидроэлектроэнергии и транспортировке (2023 - 2026 годы) (перезаключение) в рамках проекта BJ в Чжэцзяне,Название проекта (Описание)
Строительство гидроэлектроэнергетических и эксплуатационных работ в рамках проекта BJ в Бенцзяне (2023-2026 годы) (перезаключение) (номер тендера: CGN-CGN-,Название проекта (Описание)
Инспекция робототехники в трансформаторах АЭС (CGN-202207200001),Название проекта (Описание)
Название проекта: Инспекция роботов на трансформаторах АЭС,Название проекта (Описание)
"Проект &lt; &lt; Янцзы &gt; &gt; , проект строительства тепловых помещений в Институте ядерных исследований",Название проекта (Описание)
Проект &quot; Бенянцзян &quot; включает в себя проект строительства тепловых помещений в Институте ядерных исследований Китая и Китая (перезаключение),Название проекта (Описание)
"Наименование проекта: проект &lt; &lt; Янцзы &gt; &gt; , проект строительства тепловых помещений в Институте ядерных исследований, LOT101N (перезапрос)",Название проекта (Описание)
Интегрированная энергетическая инженерия на берегу альпинистского порта с новым энергоносителем (запрос No CGN-20220830001),Название проекта (Описание)
Выпускник: Муниципальный институт инженерного проектирования в Тяньцзине,Название проекта (Описание)
Ускоритель нейтрона для производства радиоизотопных компонентов электропередачи,Название проекта (Описание)
Электроинженерные работы по производству радиоизотопных изотопов в данном ускорителе (номер тендера: CGN-202308005,Название проекта (Описание)
Проект: Электроинженерные работы по производству медицинских радиоизотопов на ускорителях средней мощности,Название проекта (Описание)
Проект строительства выставочного центра ядерной энергетики Ниндера,Название проекта (Описание)
Название проекта: Проект строительства атомного электрического интеллектуального зала в Нинде,Название проекта (Описание)
Интеллектуальная инженерия в Центре по подготовке кадров в области ядерной инженерии Китая и Китая (номер тендера: CGN-20221028002) для определения проекта,Название проекта (Описание)
Название проекта: Информационно-инженерная инженерия в Центре по подготовке кадров в области ядерной инженерии,Название проекта (Описание)
Закупка экспериментального оборудования в рамках проекта электрификации (CGN-202307040006),Название проекта (Описание)
"Ремонтно-эксплуатационные работы на обычных островах и BOP на атомных электростанциях в Бен-Пинлинге (номер тендера: CGN-20221109004), определяющий этот проект",Название проекта (Описание)
Проект дополнительного исследования потенциальных источников костных материалов вне АЭС (пересмотр),Название проекта (Описание)
Проект дополнительного исследования потенциальных источников костной продукции за пределами атомных электростанций (перезакупка) (номер тендера),Название проекта (Описание)
Наименование проекта: проект дополнительного исследования потенциальных источников костных материалов вне АЭС (перезакупка),Название проекта (Описание)
Участники: Нанкинский инженерно-строительный институт ядерной промышленности,Название проекта (Описание)
"Модернизация бортовых двигателей SIR, SIT, ATE 1-6",Название проекта (Описание)
"Проект модернизации вышеперечисленных самолетов SIR, SIT и ATE на атомном заводе Беньянцзян (запрос No: CGN-6)",Название проекта (Описание)
"Наименование проекта: проект модернизации бортового двигателя на атомных электростанциях Янцзы 1-6 SIR, SIT и ATE",Название проекта (Описание)
2-й конкурс на перестройку электрического тока в трансформаторе Gulfstream 1,Название проекта (Описание)
Проект усовершенствования сервера приложений для атомных рельефов (перезаключение) (номер тендера: CGN-20221207002-N1),Название проекта (Описание)
В рамочном контракте на проектирование строительного проекта на базе ядерной энергетики в заливе Гранд-Азия (2022-2025 годы) указаны результаты,Название проекта (Описание)
Рамочный контракт на проектирование строительного проекта на базе атомных электростанций в заливе Бенгоа (2022-2025 годы) (номер тендера: CGN-202205230004),Название проекта (Описание)
Проект по созданию механизма автоматической замены термопаров на атомных электростанциях,Название проекта (Описание)
Разработка устройства для автоматической замены термопаров на атомных электростанциях (номер тендера: CGN-20220616003) для определения проекта,Название проекта (Описание)
Название проекта: Разработка устройства для автоматической замены термоэлектрической куколы АЭС,Название проекта (Описание)
Проект по модификации трансмиссивного генератора Яньцзян (четвертый прием),Название проекта (Описание)
Наименование проекта: проект по модификации трансмиссивного оборудования для константа Яньцзян (четвертый тендер),Название проекта (Описание)
Специализированная проверка качества третьей стороны на атомном электростанции Порт-оф-Си,Название проекта (Описание)
"Проект специализированных услуг по тестированию качества для третьих лиц, работающих на атомных электростанциях Порт-оф-Спейн (запрос No: CGN)",Название проекта (Описание)
Проект по наблюдению за деятельностью третьих сторон на АЭС &lt; &lt; Наземная энергетика &gt; &gt;,Название проекта (Описание)
Название проекта: Проект по наблюдению за деятельностью третьих сторон на АЭС &lt; &lt; Саудио &gt; &gt;,Название проекта (Описание)
Проект строительства забора на границе атомной электростанции Бенедикта (запрос No CGN-20220408005) для определения проекта,Название проекта (Описание)
Три проекта по мониторингу водного хозяйства на атомных электростанциях порта Гуанси,Название проекта (Описание)
Три проекта по мониторингу водного хозяйства на атомном заводе в Порт-Майнши (заявление No CGN-202112130002),Название проекта (Описание)
Название проекта: Три проекта по мониторингу водной толщи на атомном электростанционном заводе в порту Гуанси,Название проекта (Описание)
Закупка проектно-конструкторского комплекса &lt; &lt; Бенянцзян &gt; &gt; и проект строительства тепловых помещений в Институте ядерных исследований &lt; &lt; Лот102Е &gt; &gt; (маленькая специальная система управления),Название проекта (Описание)
Наименование проекта: проект строительства тепловых помещений в рамках проекта Янцзы (LOT102E),Название проекта (Описание)
Закупка проектно-конструкторских работ в туннеле в Бенджаминском заливе (заказ No CGN-20220607005) для определения проекта,Название проекта (Описание)
Название проекта: Японская атомная электростанция,Название проекта (Описание)
Проект строительства ворот на базе атомных электростанций в Бен-Ганси (Конференция No CGN-20220328004) для определения проекта,Название проекта (Описание)
Устройство для разработки и приобретения специального инструмента для систем измерения на атомных электростанциях,Название проекта (Описание)
"Разработка и приобретение оборудования для специального инструмента для систем измерения внутри ядерно-энергетического реактора (номер тендера: CGN-20210428007) для определения того, кто будет выбран в этом проекте, например",Название проекта (Описание)
Проект: Разработка специализированного инструмента для систем измерения атомных электростанций,Название проекта (Описание)
Установить проект на северном берегу и водоснабжении на атомной электростанции CGN-20190906004,Название проекта (Описание)
Название проекта: Китайская атомная атомная атомная атомная атомная атомная атомная атомная фабрика &lt; &lt; Северный берег &gt; &gt;,Название проекта (Описание)
Интегрированная исследовательская работа по изучению воздействия водяных фильтров на атомную электростанцию Нинде 5 и 6,Название проекта (Описание)
Интегрированная исследовательская работа по изучению воздействия водяных фильтров на атомную электростанцию Бенедикта 5 и 6 (номер тендера: CGN-20210325006) для определения проекта,Название проекта (Описание)
Проект: Интегрированная исследовательская работа по изучению воздействия водяных фильтров на атомную электростанцию Нинде 5 и 6,Название проекта (Описание)
Проект строительства тепловых помещений в Институте ядерных исследований Китая и Китая LOT16F (облучение материалов и,Название проекта (Описание)
Проект строительства тепловых помещений в Институте ядерных исследований Китая и Китая LOT16F (оборудование для систем пробоотбора воздуха в Центре по исследованию и освоению изотопов),Название проекта (Описание)
Название проекта: Проект строительства тепловых помещений в Институте ядерных исследований Китая и Китая LOT16F (Отбор проб воздуха в Центре по исследованию и освоению изотопов,Название проекта (Описание)
Проект по централизованному закупке оборудования для лабораторного оборудования Группы ядерных государств,Название проекта (Описание)
Проект централизованной закупки оборудования для лабораторного оборудования для измерения ГЯО (Конференция No CGN-20220926003),Название проекта (Описание)
"Название проекта: Проект централизованной закупки оборудования для лабораторного оборудования, используемого Группой ядерных государств",Название проекта (Описание)
Инструкции по сооружению тепловых помещений в Институте ядерных исследований Китая и Китая LOT130I Устройство для обработки контейнеров,Название проекта (Описание)
Оборудование для установки тепловых помещений в рамках проекта по строительству тепловых помещений в Институте ядерных исследований Китая и Китая LOT130I для обработки бочки (номер тендера: CGN-20220105005),Название проекта (Описание)
Проект строительства медицинских радиоизотопов для спиральных ускорителей,Название проекта (Описание)
"Проект по строительству медицинских радиоизотопов для спиральных ускорителей (номер тендера: CGN-202206130006),",Название проекта (Описание)
Название проекта: Проект строительства медицинских радиоизотопов на ускорителях,Название проекта (Описание)
Результаты проекта по переоснащению персонала на АЭС «Линдон»,Название проекта (Описание)
Проект по ремонту ресторана для работников АЭС «Линдон»,Название проекта (Описание)
Результаты проекта мониторинга третьей стороны ядерной энергетики &lt; &lt; Тайпин &gt; &gt;,Название проекта (Описание)
В 2021 году монгольская энергетическая станция Bulg ветроэнергетическая установка Alstom Mobility Mobility Mobility Model Reforming Module of Mobility Model Mobility,Название проекта (Описание)
"В 2021 году в Монголии будет осуществлен проект по модификации модуля мощности преобразования модуля мощностью динамических трансмиссий Als, работающих на ветряной площадке Bulfstream (Конкретный проект No CGN-",Название проекта (Описание)
21 МВт ретрансформатора на Уланской электростанции,Название проекта (Описание)
Модернизация 21 МВт ретрансформатора на Уланской электростанции (Конференция No CGN-20220926001),Название проекта (Описание)
Результаты проекта строительства склада запасных частей для ядерных материалов в Нинде,Название проекта (Описание)
Проект строительства склада запасных частей для ядерных материалов в Беннинге (заявочный номер проекта: CGN-20230306001) для определения проекта,Название проекта (Описание)
Проект строительства склада запасных частей для ядерной энергетики в Нинде,Название проекта (Описание)
Сведения о результатах в проекте EPC лазерной радиолокационной установки EPC для плавучего лазерного радиолокационного детектора морской ветроэнергетики Северного Китая,Название проекта (Описание)
Проект EPC для плавучих лазерных радиолокаторов для проекта морской ветроэнергетики Северного Китая и Китая (номер тендера: CGN-20210517006) для определения настоящего,Название проекта (Описание)
Проект: проект по проектированию плавучих лазерных радиолокаторов EPC в рамках проекта &lt; &lt; Северное море &gt; &gt;,Название проекта (Описание)
Проект по расчистке ядерно-энергетического комплекса (CGN-20220627008),Название проекта (Описание)
Название проекта: Проект по очистке атомных электростанций в Таити,Название проекта (Описание)
Проект расширения ресторана SA электростанции в Порт-о-Пренсе,Название проекта (Описание)
Проект расширения ресторана SA на атомной электростанции Порт-о-Пренса (No тендера: CGN-202302130006) для определения заказчика проекта,Название проекта (Описание)
Название проекта: Проект расширения ресторана SA АЭС Порт-оф-Спейн,Название проекта (Описание)
Проект по подготовке и ремонту ядерно-энергетического комплекса II в Порт-о-Пренсе,Название проекта (Описание)
Проект по подготовке и ремонту строительного производства и гражданского строительства в Порт-о-Пренсе (перенаправление предложений) (номер тендера: CGN-,Название проекта (Описание)
Название проекта: Проект по подготовке к производству и ремонту строительного оборудования в Порт-о-Пренсе (перезапрос),Название проекта (Описание)
Объявлены результаты закупок трансформаторов на АЭС-2,Название проекта (Описание)
Проект Интеллектуализации центра управления капитальным ремонтом атомной электростанции в заливе Бенгоа (Конференция No CGN-202204210001) для определения проекта,Название проекта (Описание)
2023 - 2026 гг. в проекте Японской службы по эксплуатации атомных подводных лодок,Название проекта (Описание)
Проект по эксплуатации атомного дайвера в Янцзе на 2023-2026 годы (номер тендера: CGN-20221024003),Название проекта (Описание)
Проект по мониторингу проектной деформации на 2023-2028 годы на атомном заводе в Бен-Ганси (заявление No CGN-20230315004),Название проекта (Описание)
Объявлены результаты закупок ультранизких фоновых приборов для ядерно-энергетической лаборатории &lt; &lt; Порт-оф-Спейн &gt; &gt;,Название проекта (Описание)
Закупка сверхнизких фоновых флеш-приборов в Лаборатории ядерных островов-2 в Порт-о-де-Майне (No. CGN-202203150003),Название проекта (Описание)
Проект: Закупка сверхнизких приборов для флэш-диапазона в Лаборатории ядерных островов II в Порт-оф-Спейне,Название проекта (Описание)
Закупка оборудования для технического обслуживания (электрические инструменты измерения) (CGN-202211010004),Название проекта (Описание)
Название проекта: Закупка оборудования для технического обслуживания (электрический инструмент измерения),Название проекта (Описание)
Информация о результатах проекта строительства теплового комплекса в Институте ядерных исследований Китая и Китая LOT130A,Название проекта (Описание)
Проект строительства тепловых помещений в Институте ядерных исследований Китая и Китая LOT130A (номер тендера: CGN-202109220001) для определения проекта,Название проекта (Описание)
Результаты разработки (перезакупки) оборудования для испытания подводной лазерной стыковки на атомных электростанциях,Название проекта (Описание)
Разработка (перезагрузка) оборудования для испытания подводной лазерной стыковки на атомной электростанции (номер тендера: CGN-202207270009-N1),Название проекта (Описание)
Проект: разработка оборудования для обнаружения подводной лазерной стыковки на АЭС (перезаключение),Название проекта (Описание)
Видеонаблюдение системы физической защиты на АЭС &lt; &lt; Порт-оф-Спейн &gt; &gt; в рамках проекта по модернизации камер высокой четкости,Название проекта (Описание)
"Проект видеонаблюдения системы физической защиты на атомной электростанции в Порт-о-Пренсе (Конференция No CGN-20220107003),",Название проекта (Описание)
Проект по модернизации цифровой камеры высокой четкости видеонаблюдения системы физической защиты на АЭС &lt; &lt; Порт &gt; &gt;,Название проекта (Описание)
Результаты тендера на испытательную платформу по моделированию окружающей среды на основе лазерной стыковки на атомных электростанциях и приобретение запасных частей (перезакупка),Название проекта (Описание)
Платформа для моделирования окружающей среды под водой лазерной стыковки на атомной электростанции и приобретение запасных частей (перезакупка) (номер тендера: CGN-,Название проекта (Описание)
Проект: экспериментальная платформа для моделирования окружающей среды подводной лазерной стыковки на атомных электростанциях и приобретение запасных частей (перезакупка),Название проекта (Описание)
Объявлены результаты закупок высокочастотных спектральных приборов в лаборатории &lt; &lt; Ядерный остров II &gt; &gt;,Название проекта (Описание)
Закупка высокочастотных спектральных приборов в лаборатории Ядерного острова II в Порт-оф-Спейне (заявление No CGN-20220315002),Название проекта (Описание)
Проект: Закупка высокочастотного спектрометрического оборудования для лаборатории на АЭС-2 в Порт-оф-Спейне,Название проекта (Описание)
Название проекта: Японский ядерно-энергетический комплекс LOT73,Название проекта (Описание)
Результаты нового трансформатора в электрическом электрическом ресторане Янцзы,Название проекта (Описание)
Проект по созданию нового трансформатора в электрическом ресторане «Яцзян»,Название проекта (Описание)
Проект по ремонту ядерно-энергетического оборудования в Янцзе (пункт 1) (CGN-20220610007),Название проекта (Описание)
Наименование проекта: проект по ремонтно-эксплуатационным услугам в области ядерной энергетики Янцзы (пункт 1),Название проекта (Описание)
Проект теплового оборудования в Институте ядерных исследований Китая,Название проекта (Описание)
Название проекта: Проект по созданию тепловых установок в Институте ядерных исследований Китая и Китая (LOT16Ga),Название проекта (Описание)
2023 - 2026 гг. аутсорсинг проектов по техническому обслуживанию ядерно-энергетического комплекса в Таити,Название проекта (Описание)
В 2023-2026 гг. был передан на внешний подряд проект по ремонту ядерно-энергетических объектов в горах (запрос No CGN-202209190008),Название проекта (Описание)
"Наименование проекта: аутсорсинг проекта строительства ядерно-энергетических объектов в Таити, 2023-2026 годы",Название проекта (Описание)
Проект «Ядерная энергетика Ниндера» - проект по разработке единой интеллектуальной платформы «Морская и морская» (запрос No CGN-202305040009),Название проекта (Описание)
Интернэшнл инжиниринг проекта по интеграции гамма-излучения (номер тендера: CGN-202209130008),Название проекта (Описание)
Проект централизованной закупки оборудования для лабораторного оборудования (CGN),Название проекта (Описание)
"Наименование проекта: централизованные закупки оборудования для лабораторных приборов, используемых группой ядерных специалистов",Название проекта (Описание)
(Контингент: CGN-20230223005),Контингент (индификатор)
(Контингент: CGN-20210615002),Контингент (индификатор)
(Контингент: CGN-202302280006),Контингент (индификатор)
(Контингент: CGN-202304240013),Контингент (индификатор)
(Контингент: CGN-20220420002),Контингент (индификатор)
(Контингент: CGN-202302210001),Контингент (индификатор)
(Контингент: CGN-20220127002),Контингент (индификатор)
(Контингент: CGN-20230626003),Контингент (индификатор)
(Контингент: CGN-20220406003),Контингент (индификатор)
(Контингент: CGN-202204120002),Контингент (индификатор)
(Контингент: CGN-20220920005),Контингент (индификатор)
(Контингент: CGN-20221010005),Контингент (индификатор)
(Контингент: CGN-20220309002),Контингент (индификатор)
(Контингент: CGN-202301170012),Контингент (индификатор)
(Контингент: CGN-202205180010),Контингент (индификатор)
(Контингент: CGN-202201140003),Контингент (индификатор)
(Контингент: CGN-202107130007),Контингент (индификатор)
(Контингент: CGN-20220129002),Контингент (индификатор)
(Контингент: CGN-20230208003),Контингент (индификатор)
(Контингент: CGN-20230417002),Контингент (индификатор)
(Контингент: CGN-202209200010),Контингент (индификатор)
(Контингент: CGN-202204020006),Контингент (индификатор)
(Контингент: CGN-20220309003),Контингент (индификатор)
(Контингент: CGN-20220726003),Контингент (индификатор)
(Контингент: CGN-20220705002),Контингент (индификатор)
(Контингент: CGN-20211105003),Контингент (индификатор)
(Контингент: CGN-20230710002),Контингент (индификатор)
(Контингент: CGN-20220916001),Контингент (индификатор)
(Контингент: CGN-202303150007),Контингент (индификатор)
(Контингент: CGN-202307040012),Контингент (индификатор)
(Контингент: CGN-20211206002),Контингент (индификатор)
(Контингент: CGN-202104250010),Контингент (индификатор)
(Контингент: CGN-202305230006),Контингент (индификатор)
(Контингент: CGN-202304250007),Контингент (индификатор)
(Контингент: CGN-202105130005),Контингент (индификатор)
(Контингент: CGN-202210110008),Контингент (индификатор)
(Контингент: CGN-20220210003),Контингент (индификатор)
(Контингент: CGN-20230614002),Контингент (индификатор)
(Контингент: CGN-202208160007),Контингент (индификатор)
(Контингент: CGN-20220830001),Контингент (индификатор)
(Контингент: CGN-20230606002),Контингент (индификатор)
(Контингент: CGN-202208010001),Контингент (индификатор)
(Контингент: CGN-20230216005),Контингент (индификатор)
(Контингент: CGN-20220919003),Контингент (индификатор)
